,content,query,tweetDate,twitterProfile
282,"Primo tempo davvero da top team,  ora non resta che non rovinare tutto. Bella la coppia Ibra-Rebic, Bennacer contro… https://t.co/Ap1Jp2Wamu",[],2020-02-09 20:37:37+00:00,819629090
284,"Milano è rosso 
Gusto
#ForzaMilan ⚫🔴",['ForzaMilan'],2020-02-09 20:37:37+00:00,3347045723
285,"RT @MaestroJuventus: #Godin, il miglior difensore di sempre (A detta degli interisti e del suo osannatore nonché allenatore di subuteo #Ada…",['Godin'],2020-02-09 20:37:38+00:00,15469295
286,"RT @MaestroJuventus: #Trevisani: ""Aspetta c'è da verificare la posizione di #Ibrahimovic""

Quanto state rosicando Riky e Lele, come vi chia…","['Trevisani', 'Ibrahimovic']",2020-02-09 20:37:42+00:00,15469295
287,Raddoppio del @acmilan con il colpo di testa di @Ibra_official dagli sviluppi del calcio d'angolo! #InterMilan 0-2… https://t.co/S8vH1qbosb,['InterMilan'],2020-02-09 20:37:42+00:00,1009000960147025921
290,DIOOOOOOOOO ZLATANNNNN!!! Ve l'avevo detto che era importante Handanovic!!!!! 0-2! 0-2! 0-2!!! @SkySport… https://t.co/HpGULxa2w0,[],2020-02-09 20:37:47+00:00,296507003
292,"RT @AntoVitiello: Gol di re Ibra, giocatore infinito: 2-0
#intermilan #derby #ibrahimovic","['intermilan', 'derby', 'ibrahimovic']",2020-02-09 20:37:48+00:00,853451096
293,"RT @MaestroJuventus: #Trevisani: ""Aspetta c'è da verificare la posizione di #Ibrahimovic""

Quanto state rosicando Riky e Lele, come vi chia…","['Trevisani', 'Ibrahimovic']",2020-02-09 20:37:48+00:00,822015962220265472
294,In pratica se #Ibrahimovic fosse arrivato ad agosto questi sarebbero primi con 10/15 punti sulla seconda. Inter ine… https://t.co/Ts0N91O4BJ,['Ibrahimovic'],2020-02-09 20:37:50+00:00,454136105
296,"Domanda per i più attenti: da quanti anni non si vedeva @acmilan giocare in questo modo? Anni, non settimane. E ora… https://t.co/LGigIHfLcV",[],2020-02-09 20:37:51+00:00,572155608
297,Come sono tristi Trevisani e Adani!!! #InterMilan #primotempo #daje #Ibra #Ibrahimovic,"['InterMilan', 'primotempo', 'daje', 'Ibra', 'Ibrahimovic']",2020-02-09 20:37:53+00:00,280496123
299,"il #Milan con #Ibrahimovic  è destinato a risalire.
La Roma, che ha come attaccante di punta #Dzeko, è destinata a… https://t.co/Owuo1yMa86","['Milan', 'Ibrahimovic', 'Dzeko']",2020-02-09 20:37:53+00:00,77172527
300,Forza Rossoneri,[],2020-02-09 20:37:54+00:00,1197537449389498370
301,RT @SerieA: Raddoppio del @acmilan con il colpo di testa di @Ibra_official dagli sviluppi del calcio d'angolo! #InterMilan 0-2 #SerieATIM #…,"['InterMilan', 'SerieATIM']",2020-02-09 20:38:02+00:00,4702322766
302,RT @SerieA: Raddoppio del @acmilan con il colpo di testa di @Ibra_official dagli sviluppi del calcio d'angolo! #InterMilan 0-2 #SerieATIM #…,"['InterMilan', 'SerieATIM']",2020-02-09 20:38:03+00:00,828446631125204992
303,RT @M1G3N: Godo come un riccio appena nato #ForzaMilan #InterMilan,"['ForzaMilan', 'InterMilan']",2020-02-09 20:38:04+00:00,1081169252
304,"#SerieA 23^ giornata 🇮🇹
#Inter 🆚️ #Milan: fine primo tempo 0-2
#Rebic (40') ⚽️ #Ibrahimovic (45')
Il LIVE ➡️… https://t.co/XzG9E2pBPn","['SerieA', 'Inter', 'Milan', 'Rebic', 'Ibrahimovic']",2020-02-09 20:38:06+00:00,199632928
305,Toppissimo,[],2020-02-09 20:38:06+00:00,833432712
306,RT @SerieA: Raddoppio del @acmilan con il colpo di testa di @Ibra_official dagli sviluppi del calcio d'angolo! #InterMilan 0-2 #SerieATIM #…,"['InterMilan', 'SerieATIM']",2020-02-09 20:38:07+00:00,923313348225089537
307,"Primo tempo dominato, con loro pericolosi solo su una ripartenza e sulle palle inattive. Ora altri 50' di fuoco. La… https://t.co/bLpFMcMFjR",[],2020-02-09 20:38:11+00:00,889160369868025856
308,"RT @MaestroJuventus: #Trevisani: ""Aspetta c'è da verificare la posizione di #Ibrahimovic""

Quanto state rosicando Riky e Lele, come vi chia…","['Trevisani', 'Ibrahimovic']",2020-02-09 20:38:12+00:00,1160317996730068992
309,Che qualcuno mandi Galliani in campo per ritirare la squadra #InterMilan #ForzaMilan,"['InterMilan', 'ForzaMilan']",2020-02-09 20:38:14+00:00,1225146025725374464
310,"RT @MaestroJuventus: #Godin, il miglior difensore di sempre (A detta degli interisti e del suo osannatore nonché allenatore di subuteo #Ada…",['Godin'],2020-02-09 20:38:15+00:00,1160317996730068992
311,"noi abbiamo #Milik loro #Ibrahimovic, quest'anno sono emerse tutte le mancanze di una società purtroppo senza strut… https://t.co/hPNxa4AiKf","['Milik', 'Ibrahimovic']",2020-02-09 20:38:15+00:00,4747101053
313,RT @SerieA: Raddoppio del @acmilan con il colpo di testa di @Ibra_official dagli sviluppi del calcio d'angolo! #InterMilan 0-2 #SerieATIM #…,"['InterMilan', 'SerieATIM']",2020-02-09 20:38:21+00:00,1120354788699451393
314,Dai ragazzi dai #ForzaMilan,['ForzaMilan'],2020-02-09 20:38:22+00:00,18351127
315,RT @SerieA: Raddoppio del @acmilan con il colpo di testa di @Ibra_official dagli sviluppi del calcio d'angolo! #InterMilan 0-2 #SerieATIM #…,"['InterMilan', 'SerieATIM']",2020-02-09 20:38:24+00:00,378096106
316,5 - Zlatan #Ibrahimovic ha preso parte attiva a cinque reti nelle sue quattro sfide di Serie A contro l'Inter con l… https://t.co/0M8M9u1xti,['Ibrahimovic'],2020-02-09 20:38:25+00:00,57601680
317,"RT @AntoVitiello: Gol di re Ibra, giocatore infinito: 2-0
#intermilan #derby #ibrahimovic","['intermilan', 'derby', 'ibrahimovic']",2020-02-09 20:38:27+00:00,282211697
318,RT @ErnyMilan7: DIOOOOOOOOO ZLATANNNNN!!! Ve l'avevo detto che era importante Handanovic!!!!! 0-2! 0-2! 0-2!!! @SkySport #skysporthd #Ibrah…,['skysporthd'],2020-02-09 20:38:27+00:00,242897421
319,RT @SerieA: Raddoppio del @acmilan con il colpo di testa di @Ibra_official dagli sviluppi del calcio d'angolo! #InterMilan 0-2 #SerieATIM #…,"['InterMilan', 'SerieATIM']",2020-02-09 20:38:28+00:00,3394659807
