,content,query,tweetDate,twitterProfile
5009,"IL #DERBY DI #MILANO È NERAZZURRO!

Una pazza @Inter rimonta lo 0-2 del primo tempo e batte 4-2 un buon #Milan. Reazione di carattere degli uomini di Conte nella ripresa: decidono #Brozovic, #Vecino, #DeVrij e #Lukaku. L'aggancio in vetta alla #Juventus è realtà.

Che ne pensate? https://t.co/emywpKP97D",#brozovic,2020-02-09 21:44:01+00:00,https://twitter.com/RadioSportiva
3890,#Lukaku 💪🏿 https://t.co/IbtoRLTJfj,#lukaku,2020-02-09 21:44:10+00:00,https://twitter.com/YasinUSUL
5086,Date la fascia di capitano A VITA a quel croato che predica calcio lì in mezzo al campo! #Brozovic io ti amo!,#brozovic,2020-02-09 21:44:12+00:00,https://twitter.com/R_osario
3770,Que jogo ⚽️ #Lukaku #DerbyMilano #DerbyDellaMadoninna #InterMilan #italianonodazn ⚽️⚽️⚽️⚽️⚽️👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾 https://t.co/VAkxDQQrIp,#lukaku,2020-02-09 21:44:13+00:00,https://twitter.com/pessoa_ilto
5150,"@SerieA @SassuoloUS @spalferrara @Lecce_official @sscnapoli @GenoaCFC @CagliariCalcio @BresciaOfficial @Udinese_1896 @juventusfc @OfficialSSLazio @Inter @1913parmacalcio Meravigliosa @Inter! Clamorosa rimonta nel derby meneghino. Suicidio @acmilan: avanti di 2 all'intervallo (#Rebic #Ibra), i rossoneri restano negli spogliatoi e i nerazzurri esplodono: 4-2 firmato #Brozovic #Vecino #DeVrij e #Lukaku. Raggiunta la @juventusfc: Scudetto più vicino.",#brozovic,2020-02-09 21:44:23+00:00,https://twitter.com/corsaroll
3677,Only sport can deliver moments like this. What a great and final way to end the #DerbyMilano take it home @Inter_en #Lukaku #InterMilan #SanSiro,#lukaku,2020-02-09 21:44:26+00:00,https://twitter.com/nathanturrell
5220,"🇮🇹 #SerieA, 23^ Giornata

🏁 #InterMilan 4-2

⚽ 40' #Rebic
⚽ 45'+1 #Ibrahimovic
⚽ 51' #Brozovic
⚽ 53' #Vecino
⚽ 70' #deVrij
⚽ 90'+3 #Lukaku",#brozovic,2020-02-09 21:44:27+00:00,https://twitter.com/TuttoIlMercato
3679,Come on @Inter 🙌🙌🙌🙌💪💪💪 #Inter #Lukaku,#lukaku,2020-02-09 21:44:30+00:00,https://twitter.com/SipheleleQalaba
3750,A goal made in Chelsea #Conte #Lukaku #Moses,#lukaku,2020-02-09 21:44:30+00:00,https://twitter.com/ShadyB_Amen
4975,#Brozovic ha pescato il jolly. E ci siamo sfaldati. Grande #Ibra non ti meriti questa squadra. #Milan,#brozovic,2020-02-09 21:44:33+00:00,https://twitter.com/Budulacci70
